Store Name,Address,Street,City,State,Zip,Country,Duration,Distance,DateTime,Points Earned,Fare,Promotion,Boost,Tip,Your Earnings,Customer 1 Price,Customer 1 Tip,Customer 1 Service Fee,Customer 2 Price,Customer 2 Tip,Customer 2 Service Fee,Customer 3 Price,Customer 3 Tip,Customer 3 Service Fee,Customer 4 Price,Customer 4 Tip,Customer 4 Service Fee,Customer 5 Price,Customer 5 Tip,Customer 5 Service Fee,Customer 6 Price,Customer 6 Tip,Customer 6 Service Fee,Customer 7 Price,Customer 7 Tip,Customer 7 Service Fee,Customer 8 Price,Customer 8 Tip,Customer 8 Service Fee,Customer 9 Price,Customer 9 Tip,Customer 9 Service Fee,Customer 10 Price,Customer 10 Tip,Customer 10 Service Fee,Customer Payments Total,Service Fee Total
"Castanedas Mexican Food - San Diego, CA","Salizar St, San Diego, CA 92111-3330, US",Salizar St,San Diego,CA,92111,US,00:29:25,4.1,08/17/2023 19:50:00,12,7.26,0,0,11.76,19.02,12.65,6.47,6.78,10.8,5.29,9.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.21,16.19
Crab Town,"Edgeware Rd, San Diego, CA 92116, US",Edgeware Rd,San Diego,CA,92116,US,00:26:50,9.7,08/17/2023 19:05:00,6,6,0,0,6.03,12.03,8.35,6.03,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.379999999999999,2.35
Di-Chan Thai Restaurant,"Repecho Dr, San Diego, CA 92124, US",Repecho Dr,San Diego,CA,92124,US,00:21:47,5.3,08/17/2023 18:30:00,6,4.9,0,0,5,9.9,11.94,5,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.939999999999998,7.04
Star Anise Thai Cuisine,"Nobel Dr, San Diego, CA 92122, US",Nobel Dr,San Diego,CA,92122,US,00:16:15,1.8,08/17/2023 17:48:00,6,4.16,0,0,8.68,12.84,14.28,8.68,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.96,10.12
Tajima Convoy,"Fiore Ter, San Diego, CA 92122-5601, US",Fiore Ter,San Diego,CA,92122,US,00:35:52,6.6,08/17/2023 17:11:00,12,8.16,0,0,10.6,18.76,10.74,5.6,5.74,10.16,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.5,12.74
Epic Wings- Kearny Mesa (Convoy),"Centre St, San Diego, CA 92103, US",Centre St,San Diego,CA,92103,US,00:28:39,8.7,08/14/2023 18:56:00,12,7.66,0,0,11.03,18.69,10.76,3,6.8,10.24,8.03,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.03,13.34
7-Eleven (2576 Clairemont),"Jackdaw St, San Diego, CA 92103, US",Jackdaw St,San Diego,CA,92103,US,00:22:13,8.3,08/14/2023 18:24:00,6,5.75,0,0,4.25,10,12.14,4.25,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.39,6.39
RakiRaki - Convoy,"Leathers St, San Diego, CA 92117-2436, US",Leathers St,San Diego,CA,92117,US,00:39:58,10.1,08/14/2023 17:35:00,12,8.64,0,0,7.67,16.31,9.67,4.67,4.28,14.6,3,11.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.94,15.629999999999999
Havana Grill,"Cowley Way, San Diego, CA 92117-5802, US",Cowley Way,San Diego,CA,92117,US,00:29:54,4.3,08/05/2023 18:43:00,12,6.26,0,0,9,15.26,12,6,7.57,4.93,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.93,10.67
Urban Bubble,"Towne Centre Dr, San Diego, CA 92121, US",Towne Centre Dr,San Diego,CA,92121,US,00:12:57,5.7,09/02/2023 19:18:00,6,4.41,0,0,2,6.41,8.77,2,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.77,4.36
"Papa Johns Pizza (3737 Murphy Canyon Road, Suite E)","Repecho Dr, San Diego, CA 92124, US",Repecho Dr,San Diego,CA,92124,US,00:16:30,4.7,09/02/2023 18:55:00,6,5.52,0,0,0,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sushi Kuchi,"Pasternack Pl, San Diego, CA 92123-3059, US",Pasternack Pl,San Diego,CA,92123,US,00:13:06,2.8,09/02/2023 18:42:00,6,3.5,0,0,4,7.5,9.59,4,6.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.59,6.09
Din Tai Fung (San Diego),"Spectrum Center Blvd, San Diego, CA 92123, US",Spectrum Center Blvd,San Diego,CA,92123,US,00:20:25,7.6,09/02/2023 18:00:00,6,9.07,0,0,0,9.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Poke Co. - Mira Mesa,"Camino Ruiz, San Diego, CA 92126, US",Camino Ruiz,San Diego,CA,92126,US,00:23:02,4,09/02/2023 17:25:00,6,4.15,0,0,3,7.15,9.17,3,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,5.02
The Lab Dessert & Coffee,"Keoki St, San Diego, CA 92126, US",Keoki St,San Diego,CA,92126,US,00:22:21,8.9,09/02/2023 16:59:00,6,5.49,0,0,10.35,15.84,17.48,10.35,11.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.83,11.99
The Taco Stand (Convoy St),"W Bluff Pl, Santee, CA 92071, USA",W Bluff Pl,Santee,CA,92071,USA,00:24:09,11.4,09/01/2023 19:29:00,6,9.07,0,0,8,17.07,25.06,8,15.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.06,15.99
Epic Wings- Kearny Mesa (Convoy),"Texas St, San Diego, CA 92116, US",Texas St,San Diego,CA,92116,US,00:21:45,7.1,09/01/2023 18:55:00,6,8.19,0,0,0,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Crack Shack (Little Italy),"Buenos Ave, San Diego, CA 92110, US",Buenos Ave,San Diego,CA,92110,US,00:28:28,6.7,09/01/2023 18:14:00,6,4.52,0,0,20.76,25.28,15.12,20.76,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.88,10.6
Tasty Noodle House San Diego Inc,"W Olive St, San Diego, CA 92103, US",W Olive St,San Diego,CA,92103,US,00:30:01,11.3,09/01/2023 17:33:00,6,7.42,0,0,9,16.42,15.37,9,7.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.369999999999997,7.95
Havana Grill,"Cowley Way, San Diego, CA 92117-5802, US",Cowley Way,San Diego,CA,92117,US,00:29:54,4.3,08/05/2023 18:43:00,12,6.26,0,0,9,15.26,12,6,7.57,4.93,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.93,10.67
Mizukiyama Sushi,"Pinar Pl, Del Mar, CA 92014, USA",Pinar Pl,Del Mar,CA,92014,USA,00:17:39,3.3,08/31/2023 20:32:00,6,3.63,0,0,8.72,12.35,8.94,8.72,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.66,5.31
