Store Name,Address,Street,City,State,Zip,Country,Duration,Distance,DateTime,Points Earned,Fare,Promotion,Boost,Tip,Your Earnings,Customer 1 Price,Customer 1 Tip,Customer 1 Service Fee,Customer 2 Price,Customer 2 Tip,Customer 2 Service Fee,Customer 3 Price,Customer 3 Tip,Customer 3 Service Fee,Customer 4 Price,Customer 4 Tip,Customer 4 Service Fee,Customer 5 Price,Customer 5 Tip,Customer 5 Service Fee,Customer 6 Price,Customer 6 Tip,Customer 6 Service Fee,Customer 7 Price,Customer 7 Tip,Customer 7 Service Fee,Customer 8 Price,Customer 8 Tip,Customer 8 Service Fee,Customer 9 Price,Customer 9 Tip,Customer 9 Service Fee,Customer 10 Price,Customer 10 Tip,Customer 10 Service Fee,Customer Payments Total,Service Fee Total
"Coco Ichibanya Curry House (San Diego) ","Pacific Hwy, San Diego, CA 92101-1128, US",Pacific Hwy,San Diego,CA,92101-1128,US,00:33:21,12.6,07/03/2023 11:23:00,3,8.52,0,0,6.56,15.08,22.15,6.56,13.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.709999999999997,13.63
"Adam's Wine & Spirits ","Butternut Ln, San Diego, CA 92123, USA",Butternut Ln,San Diego,CA,92123,USA,00:21:11,7.4,07/03/2023 20:27:00,6,7.84,1.28,1.28,5.5,14.62,12.99,5.5,3.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.490000000000002,3.87
"Mendocino Farms ","Convoy Ct, San Diego, CA 92111, USA",Convoy Ct,San Diego,CA,92111,USA,00:48:49,9.9,07/07/2023 11:25:00,6,9.85,0.24,0.24,39.91,50,9.3,17.23,4.38,10.49,22.68,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.7,9.7
